[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.0
allRedTime,1.5
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,01/19/2021
ScenarioTime,6:17 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,726,-3221,0,,,,,,
2,1,4045,-3213,0,,,,,,
3,0,933,-3222,0,,,,,,
4,1,934,-3043,0,,,,,,
5,1,932,-3413,0,,,,,,
6,0,1263,-3223,0,,,,,,
7,1,1268,-2958,0,,,,,,
8,1,1257,-3510,0,,,,,,
9,0,1588,-3231,0,,,,,,
10,1,1590,-2952,0,,,,,,
11,1,1579,-3506,0,,,,,,
12,0,1910,-3225,0,,,,,,
13,1,1906,-2892,0,,,,,,
14,1,1913,-3515,0,,,,,,
15,1,2154,-2703,0,,,,,,
16,0,2150,-3220,0,,,,,,
17,0,2817,-3236,0,,,,,,
Link Is Hidden,6,false,false,false,false,,
Street Name Is Hidden,6,false,false,false,false,,
Up ID,7,6,,,,,
Lanes,7,1,,,,,
Name,7,Maynard Ave S,,,,,
Distance,7,265,,,,,
Speed,7,25,,,,,
Time,7,7.2,,,,,
Grade,7,0,,,,,
Median,7,0,,,,,
Offset,7,0,,,,,
TWLTL,7,0,,,,,
Crosswalk Width,7,16,,,,,
Mandatory Distance,7,200,,,,,
Mandatory Distance2,7,1101,,,,,
Positioning Distance,7,734,,,,,
Positioning Distance2,7,1468,,,,,
Curve Pt X,7,,,,,,
Curve Pt Y,7,,,,,,
Curve Pt Z,7,,,,,,
Link Is Hidden,7,false,,,,,
Street Name Is Hidden,7,false,,,,,
Up ID,8,,6,,,,
Lanes,8,,*2,,,,
Name,8,,Maynard Ave S,,,,
Distance,8,,287,,,,
Speed,8,,25,,,,
Time,8,,7.8,,,,
Grade,8,,0,,,,
Median,8,,0,,,,
Offset,8,,0,,,,
TWLTL,8,,0,,,,
Crosswalk Width,8,,16,,,,
Mandatory Distance,8,,200,,,,
Mandatory Distance2,8,,1101,,,,
Positioning Distance,8,,734,,,,
Positioning Distance2,8,,1468,,,,
Curve Pt X,8,,,,,,
Curve Pt Y,8,,,,,,
Curve Pt Z,8,,,,,,
Link Is Hidden,8,,false,,,,
Street Name Is Hidden,8,,false,,,,
Up ID,9,11,10,6,12,,
Lanes,9,2,0,2,3,,
Name,9,7th Ave S,7th Ave S,,,,
Distance,9,275,279,325,322,,
Speed,9,25,25,25,25,,
Time,9,7.5,7.6,8.9,8.8,,
Grade,9,0,0,0,0,,
Median,9,0,0,0,0,,
Offset,9,0,0,0,0,,
TWLTL,9,0,0,0,0,,
Crosswalk Width,9,16,16,16,16,,
Mandatory Distance,9,250,250,250,250,,
Mandatory Distance2,9,1101,1101,1101,1101,,
Positioning Distance,9,734,734,734,734,,
Positioning Distance2,9,1468,1468,1468,1468,,
Curve Pt X,9,,,,,,
Curve Pt Y,9,,,,,,
Curve Pt Z,9,,,,,,
Link Is Hidden,9,false,false,false,false,,
Street Name Is Hidden,9,false,false,false,false,,
Up ID,10,9,,,,,
Lanes,10,*2,,,,,
Name,10,7th Ave S,,,,,
Distance,10,279,,,,,
Speed,10,25,,,,,
Time,10,7.6,,,,,
Grade,10,0,,,,,
