[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Positioning Distance,9,222.2,222.2,222.2,222.2,,
Positioning Distance2,9,444.4,444.4,444.4,444.4,,
Curve Pt X,9,,,,,,
Curve Pt Y,9,,,,,,
Curve Pt Z,9,,,,,,
Link Is Hidden,9,false,false,false,false,,
Street Name Is Hidden,9,false,false,false,false,,
Up ID,10,9,,,,,
Lanes,10,*2,,,,,
Name,10,7th Ave S,,,,,
Distance,10,85.0,,,,,
Speed,10,40,,,,,
Time,10,7.7,,,,,
Grade,10,0,,,,,
Median,10,0.0,,,,,
Offset,10,0.0,,,,,
TWLTL,10,0,,,,,
Crosswalk Width,10,4.9,,,,,
Mandatory Distance,10,60.0,,,,,
Mandatory Distance2,10,333.3,,,,,
Positioning Distance,10,222.2,,,,,
Positioning Distance2,10,444.4,,,,,
Curve Pt X,10,,,,,,
Curve Pt Y,10,,,,,,
Curve Pt Z,10,,,,,,
Link Is Hidden,10,false,,,,,
Street Name Is Hidden,10,false,,,,,
Up ID,11,,9,,,,
Lanes,11,,0,,,,
Name,11,,7th Ave S,,,,
Distance,11,,83.8,,,,
Speed,11,,40,,,,
Time,11,,7.5,,,,
Grade,11,,0,,,,
Median,11,,0.0,,,,
Offset,11,,0.0,,,,
TWLTL,11,,0,,,,
Crosswalk Width,11,,4.9,,,,
Mandatory Distance,11,,60.0,,,,
Mandatory Distance2,11,,333.3,,,,
Positioning Distance,11,,222.2,,,,
Positioning Distance2,11,,444.4,,,,
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,,false,,,,
Street Name Is Hidden,11,,false,,,,
Up ID,12,14,13,9,16,,
Lanes,12,1,1,2,2,,
Name,12,8th Ave S,8th Ave S,,,,
Distance,12,88.4,101.5,98.2,73.1,,
Speed,12,40,40,40,40,,
Time,12,8.0,9.1,8.8,6.6,,
Grade,12,0,0,0,0,,
Median,12,3.7,3.7,0.0,0.0,,
Offset,12,0.0,0.0,0.0,0.0,,
TWLTL,12,0,0,0,0,,
Crosswalk Width,12,4.9,4.9,4.9,4.9,,
Mandatory Distance,12,76.0,76.0,76.0,76.0,,
Mandatory Distance2,12,333.3,333.3,333.3,333.3,,
Positioning Distance,12,222.2,222.2,222.2,222.2,,
Positioning Distance2,12,444.4,444.4,444.4,444.4,,
Curve Pt X,12,,,,,,
Curve Pt Y,12,,,,,,
Curve Pt Z,12,,,,,,
Link Is Hidden,12,false,false,false,false,,
Street Name Is Hidden,12,false,false,false,false,,
Up ID,13,12,,,,,
Lanes,13,0,,,,,
Name,13,8th Ave S,,,,,
Distance,13,101.5,,,,,
Speed,13,40,,,,,
Time,13,9.1,,,,,
Grade,13,0,,,,,
Median,13,0.0,,,,,
Offset,13,0.0,,,,,
TWLTL,13,0,,,,,
Crosswalk Width,13,4.9,,,,,
Mandatory Distance,13,60.0,,,,,
Mandatory Distance2,13,333.3,,,,,
Positioning Distance,13,222.2,,,,,
